epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,622.894,1.25993,0.82197,1.01301,0.74115,0.96923,0.84249,0.55,1.61963,1.16036,1.00687,0.000610789,0.000610789,0.000610789
66,634.09,1.29207,0.89717,0.9669,0.74115,0.96923,0.84249,0.55,1.61963,1.16036,1.00687,0.000594286,0.000594286,0.000594286
67,644.386,1.17113,0.8539,0.95494,0.74115,0.96923,0.84249,0.55,1.61963,1.16036,1.00687,0.000577782,0.000577782,0.000577782
68,655.881,1.18653,0.77243,0.9292,0.7494,0.96154,0.84517,0.52942,1.84438,1.22487,1.05544,0.000561279,0.000561279,0.000561279
69,667.492,1.26153,0.84071,0.971,0.7494,0.96154,0.84517,0.52942,1.84438,1.22487,1.05544,0.000544776,0.000544776,0.000544776
70,679.158,1.21815,0.76321,0.95389,0.74888,0.96654,0.84121,0.53327,1.9423,1.18062,1.07029,0.000528272,0.000528272,0.000528272
71,690.264,1.25057,0.82137,0.95603,0.74888,0.96654,0.84121,0.53327,1.9423,1.18062,1.07029,0.000511769,0.000511769,0.000511769
72,701.54,1.24127,0.82376,0.94876,0.75135,0.96923,0.83389,0.53329,1.83964,1.17173,1.04703,0.000495266,0.000495266,0.000495266
73,713.327,1.22179,0.82256,0.91542,0.75135,0.96923,0.83389,0.53329,1.83964,1.17173,1.04703,0.000478762,0.000478762,0.000478762
74,724.739,1.18058,0.84829,0.94956,0.74875,0.96923,0.82062,0.53627,1.66989,1.11912,0.99923,0.000462259,0.000462259,0.000462259
75,736.319,1.1741,0.75396,0.93107,0.74875,0.96923,0.82062,0.53627,1.66989,1.11912,0.99923,0.000445756,0.000445756,0.000445756
76,748.014,1.17141,0.81921,0.95773,0.74875,0.96923,0.82062,0.53627,1.66989,1.11912,0.99923,0.000429253,0.000429253,0.000429253
77,759.886,1.14989,0.7697,0.94453,0.75099,0.96923,0.80603,0.53778,1.56206,1.13058,0.98775,0.000412749,0.000412749,0.000412749
78,771.538,1.18994,0.83929,0.96133,0.75099,0.96923,0.80603,0.53778,1.56206,1.13058,0.98775,0.000396246,0.000396246,0.000396246
79,783.696,1.17328,0.75247,0.92303,0.75917,0.96923,0.8006,0.54414,1.53554,1.10648,0.97846,0.000379743,0.000379743,0.000379743
80,795.976,1.1388,0.76759,0.94089,0.75917,0.96923,0.8006,0.54414,1.53554,1.10648,0.97846,0.000363239,0.000363239,0.000363239
81,807.778,1.23115,0.8383,0.96271,0.75534,0.97692,0.81104,0.5464,1.59415,1.12266,1.00072,0.000346736,0.000346736,0.000346736
